x,y,date,area,state,days_duration,total_active_cases
101.61369705200002,3.090625763999981,23/04/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,32,9
101.61369705200002,3.090625763999981,24/04/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,32,9
101.61369705200002,3.090625763999981,25/04/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,34,9
101.61369705200002,3.090625763999981,26/04/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,34,9
101.61369705200002,3.090625763999981,27/04/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,34,9
101.61746538,3.078889870000012,28/04/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6)",SELANGOR,33,5
101.61369705200002,3.090625763999981,28/04/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,34,9
101.61369705200002,3.090625763999981,28/04/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,37,10
101.61746538,3.078889870000012,29/04/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6)",SELANGOR,33,5
101.61369705200002,3.090625763999981,29/04/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,34,9
101.61369705200002,3.090625763999981,29/04/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,37,10
101.61746538,3.078889870000012,30/04/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6)",SELANGOR,35,5
101.61746538,3.078889870000012,30/04/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6)",SELANGOR,33,5
101.61369705200002,3.090625763999981,30/04/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,39,10
101.61369705200002,3.090625763999981,30/04/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,34,9
101.61369705200002,3.090625763999981,30/04/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,37,10
101.61746538,3.078889870000012,01/05/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6)",SELANGOR,36,5
101.61369705200002,3.090625763999981,01/05/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,40,10
101.61746538,3.078889870000012,02/05/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6)",SELANGOR,36,5
101.61746538,3.078889870000012,02/05/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6)",SELANGOR,37,6
101.61369705200002,3.090625763999981,02/05/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,40,10
101.61369705200002,3.090625763999981,02/05/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,41,10
101.61746538,3.078889870000012,03/05/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6)",SELANGOR,38,6
101.61746538,3.078889870000012,03/05/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6)",SELANGOR,36,5
101.61746538,3.078889870000012,03/05/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6)",SELANGOR,37,6
101.61369705200002,3.090625763999981,03/05/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,42,10
101.61369705200002,3.090625763999981,03/05/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,40,10
101.61369705200002,3.090625763999981,03/05/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,41,10
101.61746538,3.078889870000012,04/05/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6)",SELANGOR,38,6
101.61746538,3.078889870000012,04/05/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6)",SELANGOR,36,5
101.61746538,3.078889870000012,04/05/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6)",SELANGOR,37,6
101.61746538,3.078889870000012,04/05/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6)",SELANGOR,39,6
101.61369705200002,3.090625763999981,04/05/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,42,10
101.61369705200002,3.090625763999981,04/05/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,40,10
101.61369705200002,3.090625763999981,04/05/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,41,10
101.61369705200002,3.090625763999981,04/05/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,43,10
101.61746538,3.078889870000012,05/05/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6)",SELANGOR,38,6
101.61746538,3.078889870000012,05/05/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6)",SELANGOR,36,5
101.61746538,3.078889870000012,05/05/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6)",SELANGOR,37,6
101.61746538,3.078889870000012,05/05/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6)",SELANGOR,39,6
101.61746538,3.078889870000012,05/05/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6)",SELANGOR,40,6
101.61369705200002,3.090625763999981,05/05/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,42,10
101.61369705200002,3.090625763999981,05/05/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,40,10
101.61369705200002,3.090625763999981,05/05/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,41,10
101.61369705200002,3.090625763999981,05/05/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,43,10
101.61369705200002,3.090625763999981,05/05/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,44,10
101.61746538,3.078889870000012,06/05/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6)",SELANGOR,38,6
